Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
409	&scorr;&sweep;&b;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	20.861	4.933(24%)	15.928(76%)	24	7195	0	7195	2784	0	2414	   7156
410	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	19.654	4.334(23%)	15.320(77%)	23	7762	0	7762	2784	0	2415	   7690
411	&scorr;&sweep;&b;&b;&if -W 300 -K 6 -v;&mfs;	24.366	5.339(22%)	19.027(78%)	22	7358	0	7358	2784	0	2877	   7287
412	&scorr;&sweep;&b -d;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	20.096	4.471(23%)	15.625(77%)	23	7324	0	7324	2784	0	2414	   7240
413	&scorr;&sweep;&dc2;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	21.813	4.706(22%)	17.107(78%)	22	7237	0	7237	2784	0	2414	   7160
414	&scorr;&sweep;&dch;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	23.046	5.181(23%)	17.865(77%)	23	7435	0	7435	2784	0	2414	   7439
415	&scorr;&sweep;&syn3;&syn4;&dch;&if -W 300 -K 6 -v;&mfs;	18.188	5.214(29%)	12.974(71%)	29	7842	0	7842	2784	0	2881	   7922
416	&scorr;&sweep;&b -d;&b -d;&dc2;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;	20.606	4.451(22%)	16.155(78%)	22	7187	0	7187	2784	0	2414	   7164
417	&scorr;&sweep;&syn2;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn2;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&dc2;&syn3;&if -W 300 -K 6 -v;&mfs;										1533	   7760
418	&scorr;&sweep;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;	21.084	4.699(23%)	16.385(77%)	23	7465	0	7465	2784	0	2414	   7362
419	&scorr;&sweep;&if -W 300 -g -K 6;&dch;&synch2;&if -W 300 -K 6 -v;&mfs;	21.727	4.595(22%)	17.132(78%)	22	7314	0	7314	2784	0	2414	   7209
420	&scorr;&sweep;&synch2;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	21.687	4.888(23%)	16.799(77%)	23	7510	0	7510	2784	0	2414	   7336
421	&scorr;&sweep;&b -d;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;	20.215	4.640(23%)	15.575(77%)	23	7311	0	7311	2784	0	2414	   7229
422	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	23.213	5.091(22%)	18.122(78%)	22	7368	0	7368	2784	0	2414	   7249
423	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;	22.661	4.967(22%)	17.694(78%)	22	7349	0	7349	2784	0	2414	   7346
424	&scorr;&sweep;&if -W 300 -x -K 6;&synch2;&dch;&if -W 300 -K 6 -v;&mfs;	19.681	4.099(21%)	15.582(79%)	21	7367	0	7367	2784	0	2415	   7411
425	&scorr;&sweep;&dch;&dch -f;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.610	5.091(22%)	18.519(78%)	22	7510	0	7510	2784	0	2414	   7489
426	&scorr;&sweep;&if -W 300 -y -K 6;&synch2;&b;&if -W 300 -K 6 -v;&mfs;	20.235	4.471(23%)	15.764(77%)	23	7293	0	7293	2784	0	2414	   7209
427	&scorr;&sweep;&if -W 300 -y -K 6;&dch;&if -W 300 -K 6 -v;&mfs;	28.686	6.207(22%)	22.479(78%)	22	7344	0	7344	2784	0	2414	   7411
428	&scorr;&sweep;&synch2;&syn3;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.059	4.595(22%)	16.464(78%)	22	7326	0	7326	2784	0	2414	   7345
429	&scorr;&sweep;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;										1533	   7678
430	&scorr;&sweep;&syn3;&syn3;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.059	4.347(22%)	15.712(78%)	22	7315	0	7315	2784	0	2414	   7233
431	&scorr;&sweep;&synch2;&b -d;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&b;&if -W 300 -K 6 -v;&mfs;	20.659	4.365(22%)	16.294(78%)	22	7262	0	7262	2784	0	2877	   7189
432	&scorr;&sweep;&syn2;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	21.789	4.648(22%)	17.141(78%)	22	7515	0	7515	2784	0	2414	   7479
433	&scorr;&sweep;&syn3;&synch2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	21.364	4.595(22%)	16.769(78%)	22	7278	0	7278	2784	0	2414	   7221
434	&scorr;&sweep;&syn2;&b -d;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;										1533	   9273
435	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	22.313	4.843(22%)	17.470(78%)	22	7401	0	7401	2784	0	2414	   7376
