Index	Sequence	PathDelay	LogicDelay	NetDelay	LUTsLogic	RegsFF	RegsLatch
53	&scorr;&sweep;&syn3;&syn3;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4779	8254	0
54	&scorr;&sweep;&synch2;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4797	8254	0
55	&scorr;&sweep;&if -W 300 -x -K 6;&dch -f;&dch;&if -W 300 -K 6 -v;&mfs;&st;&dch;&if -W 300 -x -K 6;&b -d;&if -W 300 -K 6 -v;&mfs;						
56	&scorr;&sweep;&syn2;&syn2;&b;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4641	8254	0
57	&scorr;&sweep;&syn4;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4833	8254	0
58	&scorr;&sweep;&b -d;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&b;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4774	8254	0
59	&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4558	8254	0
60	&scorr;&sweep;&if -W 300 -x -K 6;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4799	8254	0
61	&scorr;&sweep;&if -W 300 -g -K 6;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4843	8254	0
62	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4815	8254	0
63	&scorr;&sweep;&synch2;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4810	8254	0
64	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn3;&dch -f;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4732	8254	0
65	&scorr;&sweep;&synch2;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&dc2;&b -d;&if -W 300 -K 6 -v;&mfs;						
66	&scorr;&sweep;&dch;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4784	8254	0
67	&scorr;&sweep;&if -W 300 -x -K 6;&syn3;&dch;&if -W 300 -K 6 -v;&mfs;	17.165	12.561(74%)	4.604(26%)	4744	8254	0
68	&scorr;&sweep;&b -d;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;						
