Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
349	&scorr;&sweep;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;	2.997	0.999(34%)	1.998(66%)	34	662	0	662	703	703	1205	    635
350	&scorr;&sweep;&dch;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -y -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	667	0	667	703	703	1205	    639
351	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	2.829	0.875(31%)	1.954(69%)	31	657	0	657	703	703	1205	    628
352	&scorr;&sweep;&b -d;&syn4;&if -W 300 -K 6 -v;&mfs;	2.927	0.999(35%)	1.928(65%)	35	672	0	672	703	703	1508	    643
353	&scorr;&sweep;&b;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	678	0	678	703	703	1205	    651
354	&scorr;&sweep;&synch2;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	654	0	654	703	703	1508	    625
355	&scorr;&sweep;&b -d;&b -d;&syn2;&if -W 300 -K 6 -v;&mfs;	2.830	0.875(31%)	1.955(69%)	31	659	0	659	703	703	1205	    631
356	&scorr;&sweep;&synch2;&dch;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&b;&b -d;&if -W 300 -K 6 -v;&mfs;										1170	    647
357	&scorr;&sweep;&dch;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;	3.092	1.123(37%)	1.969(63%)	37	692	0	692	703	703	1205	    666
358	&scorr;&sweep;&dc2;&dch;&if -W 300 -K 6 -v;&mfs;	3.648	1.247(35%)	2.401(65%)	35	670	0	670	703	703	1508	    645
359	&scorr;&sweep;&dch;&synch2;&synch2;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	667	0	667	703	703	1508	    638
360	&scorr;&sweep;&if -W 300 -x -K 6;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	3.653	1.247(35%)	2.406(65%)	35	669	0	669	703	703	1205	    639
361	&scorr;&sweep;&b -d;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.828	0.875(31%)	1.953(69%)	31	659	0	659	703	703	1205	    631
362	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.833	0.875(31%)	1.958(69%)	31	675	0	675	703	703	1205	    646
363	&scorr;&sweep;&if -W 300 -x -K 6;&syn2;&syn3;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	664	0	664	703	703	1205	    634
364	&scorr;&sweep;&syn3;&b -d;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	660	0	660	703	703	1508	    631
365	&scorr;&sweep;&syn3;&synch2;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	664	0	664	703	703	1205	    636
366	&scorr;&sweep;&b;&dc2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	678	0	678	703	703	1205	    651
367	&scorr;&sweep;&synch2;&syn2;&dc2;&if -W 300 -K 6 -v;&mfs;	2.832	0.875(31%)	1.957(69%)	31	692	0	692	703	703	1205	    665
368	&scorr;&sweep;&dc2;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	3.687	1.247(34%)	2.440(66%)	34	668	0	668	703	703	1205	    640
369	&scorr;&sweep;&b;&dch;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	3.248	0.999(31%)	2.249(69%)	31	667	0	667	703	703	1205	    641
370	&scorr;&sweep;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	3.064	1.123(37%)	1.941(63%)	37	670	0	670	703	703	1508	    643
371	&scorr;&sweep;&synch2;&dch;&dch;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	675	0	675	703	703	1508	    648
372	&scorr;&sweep;&syn4;&dch;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -g -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	2.758	0.999(37%)	1.759(63%)	37	663	0	663	703	703	1205	    634
373	&scorr;&sweep;&b -d;&syn2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&b;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -g -K 6;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.836	0.875(31%)	1.961(69%)	31	657	0	657	703	703	1205	    628
374	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.822	0.875(32%)	1.947(68%)	32	668	0	668	703	703	1205	    641
375	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.828	0.875(31%)	1.953(69%)	31	680	0	680	703	703	1205	    650
376	&scorr;&sweep;&if -W 300 -y -K 6;&b;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&dc2;&synch2;&if -W 300 -K 6 -v;&mfs;	2.834	0.875(31%)	1.959(69%)	31	659	0	659	703	703	1205	    630
377	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&synch2;&if -W 300 -K 6 -v;&mfs;	2.818	0.875(32%)	1.943(68%)	32	665	0	665	703	703	1205	    636
378	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&b;&if -W 300 -K 6 -v;&mfs;	2.824	0.875(31%)	1.949(69%)	31	664	0	664	703	703	1205	    634
379	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.825	0.875(31%)	1.950(69%)	31	674	0	674	703	703	1205	    645
380	&scorr;&sweep;&syn2;&syn2;&if -W 300 -K 6 -v;&mfs;	2.829	0.875(31%)	1.954(69%)	31	653	0	653	703	703	1205	    625
381	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	2.827	0.875(31%)	1.952(69%)	31	661	0	661	703	703	1205	    632
382	&scorr;&sweep;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.828	0.875(31%)	1.953(69%)	31	670	0	670	703	703	1205	    644
383	&scorr;&sweep;&syn3;&dc2;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	691	0	691	703	703	1508	    663
384	&scorr;&sweep;&b;&b;&dc2;&if -W 300 -K 6 -v;&mfs;	3.075	1.123(37%)	1.952(63%)	37	671	0	671	703	703	1508	    644
385	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dch;&b;&if -W 300 -K 6 -v;&mfs;	2.833	0.875(31%)	1.958(69%)	31	662	0	662	703	703	1205	    633
386	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.828	0.875(31%)	1.953(69%)	31	666	0	666	703	703	1205	    638
387	&scorr;&sweep;&if -W 300 -x -K 6;&dch;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	2.826	0.875(31%)	1.951(69%)	31	650	0	650	703	703	1205	    622
388	&scorr;&sweep;&b;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;	3.244	0.999(31%)	2.245(69%)	31	671	0	671	703	703	1205	    642
389	&scorr;&sweep;&syn4;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	3.199	0.999(32%)	2.200(68%)	32	674	0	674	703	703	1508	    648
390	&scorr;&sweep;&b;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	3.071	1.123(37%)	1.948(63%)	37	667	0	667	703	703	1205	    640
391	&scorr;&sweep;&syn2;&if -W 300 -g -K 6;&dch;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;	2.828	0.875(31%)	1.953(69%)	31	667	0	667	703	703	1205	    639
392	&scorr;&sweep;&dc2;&synch2;&syn3;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	661	0	661	703	703	1508	    633
393	&scorr;&sweep;&b -d;&b -d;&dch;&if -W 300 -K 6 -v;&mfs;	3.247	0.999(31%)	2.248(69%)	31	662	0	662	703	703	1508	    636
394	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.817	0.875(32%)	1.942(68%)	32	674	0	674	703	703	1205	    646
395	&scorr;&sweep;&b;&synch2;&dch -f;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	654	0	654	703	703	1508	    626
396	&scorr;&sweep;&dch -f;&dc2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	2.824	0.875(31%)	1.949(69%)	31	665	0	665	703	703	1205	    638
397	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	3.658	1.247(35%)	2.411(65%)	35	677	0	677	703	703	1205	    653
398	&scorr;&sweep;&syn3;&b -d;&if -W 300 -K 6 -v;&mfs;										1171	    650
399	&scorr;&sweep;&syn2;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.830	0.875(31%)	1.955(69%)	31	668	0	668	703	703	1205	    640
400	&scorr;&sweep;&dch;&if -W 300 -K 6 -v;&mfs;	3.072	1.123(37%)	1.949(63%)	37	660	0	660	703	703	1508	    634
401	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	2.924	0.999(35%)	1.925(65%)	35	695	0	695	703	703	1205	    668
402	&scorr;&sweep;&b;&dch -f;&if -W 300 -K 6 -v;&mfs;	3.219	0.999(32%)	2.220(68%)	32	660	0	660	703	703	1508	    633
403	&scorr;&sweep;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&synch2;&synch2;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;										1170	    672
404	&scorr;&sweep;&synch2;&dch;&syn2;&if -W 300 -K 6 -v;&mfs;	2.830	0.875(31%)	1.955(69%)	31	667	0	667	703	703	1205	    638
405	&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	669	0	669	703	703	1205	    641
406	&scorr;&sweep;&b;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;	2.832	0.875(31%)	1.957(69%)	31	664	0	664	703	703	1205	    636
407	&scorr;&sweep;&syn4;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	669	0	669	703	703	1508	    641
408	&scorr;&sweep;&dc2;&syn2;&b;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&syn3;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	3.096	1.123(37%)	1.973(63%)	37	667	0	667	703	703	1205	    639
409	&scorr;&sweep;&b;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;&st;&dc2;&if -W 300 -x -K 6;&syn2;&if -W 300 -K 6 -v;&mfs;	2.832	0.875(31%)	1.957(69%)	31	670	0	670	703	703	1205	    641
410	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;	2.926	0.999(35%)	1.927(65%)	35	666	0	666	703	703	1205	    639
411	&scorr;&sweep;&b;&b;&if -W 300 -K 6 -v;&mfs;	2.364	0.875(38%)	1.489(62%)	38	657	0	657	703	703	1508	    628
412	&scorr;&sweep;&b -d;&syn2;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;	2.823	0.875(31%)	1.948(69%)	31	658	0	658	703	703	1205	    630
413	&scorr;&sweep;&dc2;&dch -f;&b -d;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;										1170	    667
414	&scorr;&sweep;&dch;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	3.087	1.123(37%)	1.964(63%)	37	665	0	665	703	703	1205	    638
