Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
453	&scorr;&sweep;&dc2;&b -d;&synch2;&if -W 300 -K 6 -v;&mfs;	20.519	7.013(35%)	13.506(65%)	35	12899	85	12814	4511	1680	3387	  12367
454	&scorr;&sweep;&synch2;&syn4;&syn4;&if -W 300 -K 6 -v;&mfs;	21.808	7.421(35%)	14.387(65%)	35	13110	85	13025	4511	1680	3386	  12686
455	&scorr;&sweep;&syn4;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	23.136	7.983(35%)	15.153(65%)	35	12796	85	12711	4511	1680	3325	  12171
456	&scorr;&sweep;&synch2;&syn2;&if -W 300 -K 6 -v;&mfs;	19.940	6.959(35%)	12.981(65%)	35	12999	85	12914	4511	1680	3084	  12554
457	&scorr;&sweep;&b;&b;&synch2;&if -W 300 -K 6 -v;&mfs;&st;&b;&syn4;&if -W 300 -K 6 -v;&mfs;	20.984	7.304(35%)	13.680(65%)	35	12797	85	12712	4511	1680	3187	  12150
458	&scorr;&sweep;&if -W 300 -g -K 6;&syn3;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&b;&if -W 300 -K 6 -v;&mfs;	18.141	6.535(37%)	11.606(63%)	37	12868	85	12783	4511	1680	2862	  12214
459	&scorr;&sweep;&synch2;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b;&dch;&if -W 300 -K 6 -v;&mfs;	19.401	6.907(36%)	12.494(64%)	36	12445	85	12360	4511	1680	2862	  11775
460	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.645	6.456(37%)	11.189(63%)	37	13428	85	13343	4511	1680	3083	  13025
461	&scorr;&sweep;&if -W 300 -g -K 6;&syn2;&dch;&if -W 300 -K 6 -v;&mfs;	18.745	6.801(37%)	11.944(63%)	37	12823	85	12738	4511	1680	3084	  12306
462	&scorr;&sweep;&if -W 300 -x -K 6;&b;&b;&if -W 300 -K 6 -v;&mfs;	18.158	6.605(37%)	11.553(63%)	37	13371	85	13286	4511	1680	3083	  12964
