Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
729	&scorr;&sweep;&syn3;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7249
730	&scorr;&sweep;&syn4;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										1533	   7923
731	&scorr;&sweep;&b;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7251
732	&scorr;&sweep;&b -d;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7260
733	&scorr;&sweep;&if -W 300 -x -K 6;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7254
734	&scorr;&sweep;&if -W 300 -g -K 6;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7170
735	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&dch;&if -W 300 -K 6 -v;&mfs;	20.820	4.595(23%)	16.225(77%)	23	7247	0	7247	2784	0	2414	   7340
736	&scorr;&sweep;&if -W 300 -y -K 6;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7362
737	&scorr;&sweep;&synch2;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7145
738	&scorr;&sweep;&dch;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7218
739	&scorr;&sweep;&dch -f;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2881	   7685
740	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7448
741	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b -d;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7235
742	&scorr;&sweep;&dc2;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.475	4.471(21%)	17.004(79%)	21	7408	0	7408	2784	0	2414	   7279
743	&scorr;&sweep;&syn2;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.611	4.595(23%)	16.016(77%)	23	7293	0	7293	2784	0	2414	   7723
744	&scorr;&sweep;&syn3;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.030	4.843(22%)	17.187(78%)	22	7329	0	7329	2784	0	2414	   7292
745	&scorr;&sweep;&syn4;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.776	4.295(23%)	14.481(77%)	23	7738	0	7738	2784	0	1533	   7902
746	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&dch;&if -W 300 -K 6 -v;&mfs;	24.163	5.339(23%)	18.824(77%)	23	7272	0	7272	2784	0	2414	   7290
747	&scorr;&sweep;&b;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.344	4.223(22%)	15.121(78%)	22	7343	0	7343	2784	0	2414	   7334
748	&scorr;&sweep;&b -d;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7263
749	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.576	4.967(22%)	18.609(78%)	22	7338	0	7338	2784	0	2414	   7182
750	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	26.203	5.835(23%)	20.368(77%)	23	7357	0	7357	2784	0	2413	   7424
751	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	25.037	5.463(22%)	19.574(78%)	22	7311	0	7311	2784	0	2414	   7357
752	&scorr;&sweep;&synch2;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	19.585	4.471(23%)	15.114(77%)	23	7252	0	7252	2784	0	2415	   7353
753	&scorr;&sweep;&dch;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	24.172	5.215(22%)	18.957(78%)	22	7312	0	7312	2784	0	2414	   7159
754	&scorr;&sweep;&dch -f;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	25.051	5.463(22%)	19.588(78%)	22	7316	0	7316	2784	0	2414	   7190
755	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.106	4.843(22%)	17.263(78%)	22	7230	0	7230	2784	0	2414	   7440
756	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	25.260	5.587(23%)	19.673(77%)	23	7312	0	7312	2784	0	2414	   7312
757	&scorr;&sweep;&dc2;&dch -f;&if -W 300 -K 6 -v;&mfs;	24.813	5.339(22%)	19.474(78%)	22	7546	0	7546	2784	0	2414	   7354
758	&scorr;&sweep;&dc2;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.258	4.471(23%)	15.787(77%)	23	7509	0	7509	2784	0	2414	   7599
759	&scorr;&sweep;&syn2;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.184	4.719(23%)	16.465(77%)	23	7280	0	7280	2784	0	2414	   7261
760	&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.592	4.967(22%)	17.625(78%)	22	7345	0	7345	2784	0	1533	   7992
761	&scorr;&sweep;&syn4;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.515	4.210(23%)	14.305(77%)	23	7747	0	7747	2784	0	2877	   7760
762	&scorr;&sweep;&b;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.780	4.967(22%)	17.813(78%)	22	7350	0	7350	2784	0	2880	   7516
763	&scorr;&sweep;&b -d;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7278
764	&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.989	5.091(22%)	18.898(78%)	22	7332	0	7332	2784	0	2414	   7242
765	&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.828	4.595(23%)	16.233(77%)	23	7377	0	7377	2784	0	2414	   7287
766	&scorr;&sweep;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.320	5.091(22%)	18.229(78%)	22	7289	0	7289	2784	0	2414	   7194
767	&scorr;&sweep;&synch2;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.897	5.215(22%)	18.682(78%)	22	7235	0	7235	2784	0	2414	   7406
768	&scorr;&sweep;&syn2;&dch -f;&if -W 300 -K 6 -v;&mfs;	21.171	4.719(23%)	16.452(77%)	23	7352	0	7352	2784	0	2415	   7317
769	&scorr;&sweep;&dch;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	23.008	4.967(22%)	18.041(78%)	22	7313	0	7313	2784	0	2414	   7148
770	&scorr;&sweep;&dch -f;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	22.869	4.843(22%)	18.026(78%)	22	7282	0	7282	2784	0	2414	   7202
771	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.611	4.595(23%)	16.016(77%)	23	7194	0	7194	2784	0	2414	   7312
772	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.803	4.471(22%)	16.332(78%)	22	7245	0	7245	2784	0	2414	   7206
773	&scorr;&sweep;&dc2;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	21.752	4.719(22%)	17.033(78%)	22	7496	0	7496	2784	0	2879	   7797
774	&scorr;&sweep;&syn2;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.761	4.524(22%)	16.237(78%)	22	7358	0	7358	2784	0	2414	   7251
775	&scorr;&sweep;&syn3;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	20.038	4.471(23%)	15.567(77%)	23	7393	0	7393	2784	0	2414	   7592
776	&scorr;&sweep;&syn4;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	18.686	4.171(23%)	14.515(77%)	23	7622	0	7622	2784	0	2414	   7217
777	&scorr;&sweep;&b;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	25.432	5.587(22%)	19.845(78%)	22	7298	0	7298	2784	0	2414	   7205
778	&scorr;&sweep;&b -d;&if -W 300 -y -K 6;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;										2414	   7207
779	&scorr;&sweep;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;	19.066	3.993(21%)	15.073(79%)	21	7804	0	7804	2784	0	2414	   7207
