Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_Delay_Percentage	Slice_LUTs	LUT_as_Logic	LUT_as_Memory	RegsFF	RegsLatch	ABC_Delay	ABC_Area
6409	"&scorr;&sweep;&dch -f;&if -W 300 -y -K 6;&syn4;&syn2;&if -W 300 -K 6 -v;&mfs;
"	19.219	6.711	12.508	35	13044	12959	46200	4511	1680	3084.00	12430.0
8075	"&scorr;&sweep;&dch -f;&syn2;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -K 6 -v;&mfs;
"	22.208	7.753	14.455	35	12902	12817	46200	4511	1680	3324.00	12236.0
10070	"&scorr;&sweep;&b;&b;&if -W 300 -y -K 6;&syn3;&if -W 300 -K 6 -v;&mfs;
"	20.551	7.094	13.457	35	13074	12989	46200	4511	1680	3083.00	12705.0
4424	"&scorr;&sweep;&dc2;&if -W 300 -g -K 6;&if -W 300 -g -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.428	6.580	11.848	36	13522	13437	46200	4511	1680	3085.00	12977.0
2203	"&scorr;&sweep;&b -d;&syn3;&dch;&if -W 300 -K 6 -v;&mfs;
"	22.487	7.760	14.727	35	12803	12718	46200	4511	1680	3628.00	12267.0
3633	"&scorr;&sweep;&if -W 300 -g -K 6;&if -W 300 -x -K 6;&syn4;&dc2;&if -W 300 -K 6 -v;&mfs;
"	18.720	6.801	11.919	37	13620	13535	46200	4511	1680	3084.00	13078.0
3757	"&scorr;&sweep;&b -d;&syn2;&b;&dc2;&if -W 300 -K 6 -v;&mfs;
"	25.358	8.373	16.985	34	13192	13107	46200	4511	1680	3325.00	12793.0
20031	"&scorr;&sweep;&dch -f;&syn2;&syn4;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	19.118	6.618	12.500	35	13157	13072	46200	4511	1680	3085.00	12628.0
1878	"&scorr;&sweep;&syn3;&if -W 300 -g -K 6;&if -W 300 -y -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.767	7.091	13.676	35	13116	13031	46200	4511	1680	3083.00	12668.0
19968	"&scorr;&sweep;&b;&dch -f;&syn3;&if -W 300 -x -K 6;&if -W 300 -K 6 -v;&mfs;
"	20.734	7.315	13.419	36	13084	12999	46200	4511	1680	3084.00	12641.0
15337	"&scorr;&sweep;&if -W 300 -g -K 6;&syn3;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;
"	19.626	6.846	12.780	35	12937	12852	46200	4511	1680	3082.00	12481.0
6216	"&scorr;&sweep;&dc2;&synch2;&syn3;&syn2;&if -W 300 -K 6 -v;&mfs;
"	19.251	6.510	12.741	34	12886	12801	46200	4511	1680	3084.00	12343.0
11288	"&scorr;&sweep;&b;&if -W 300 -g -K 6;&dc2;&syn4;&if -W 300 -K 6 -v;&mfs;
"	21.031	7.076	13.955	34	13265	13180	46200	4511	1680	3084.00	12720.0
5781	"&scorr;&sweep;&if -W 300 -K 6 -v;&st;&b -d;&dc2;&syn2;&if -W 300 -K 6 -v;&mfs;
"	18.693	6.704	11.989	36	13274	13189	46200	4511	1680	3086.00	12818.0
4707	"&scorr;&sweep;&syn4;&if -W 300 -K 6 -v;&st;&if -W 300 -y -K 6;&dc2;&if -W 300 -K 6 -v;&mfs;
"	24.258	8.125	16.133	34	13117	13032	46200	4511	1680	3326.00	12549.0
9134	"&scorr;&sweep;&if -W 300 -x -K 6;&if -W 300 -g -K 6;&syn4;&syn3;&if -W 300 -K 6 -v;&mfs;
"	21.811	7.421	14.390	35	12981	12896	46200	4511	1680	3083.00	12409.0
