Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
2650	&scorr;&sweep;&dch -f;&syn2;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.456	6.769(34%)	13.687(66%)	34	13071	85	12986	4511	1680	3084	  12518
2651	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn2;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.974	7.076(34%)	13.898(66%)	34	13201	85	13116	4511	1680	2884	  12541
2652	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn2;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.102	7.049(36%)	13.053(64%)	36	13337	85	13252	4511	1680	3084	  12875
2653	&scorr;&sweep;&if -W 300 -g -K 6;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;										1790	  15904
2654	&scorr;&sweep;&dc2;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.683	7.017(33%)	14.666(67%)	33	12975	85	12890	4511	1680	3083	  12427
2655	&scorr;&sweep;&syn2;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.832	7.421(34%)	14.411(66%)	34	12936	85	12851	4511	1680	3084	  12508
2656	&scorr;&sweep;&syn3;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.225	7.297(35%)	13.928(65%)	35	12939	85	12854	4511	1680	3083	  12494
2657	&scorr;&sweep;&syn4;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.218	7.297(35%)	13.921(65%)	35	13213	85	13128	4511	1680	3085	  12657
2658	&scorr;&sweep;&b;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.625	7.173(35%)	13.452(65%)	35	13054	85	12969	4511	1680	3084	  12610
2659	&scorr;&sweep;&b -d;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.226	7.297(35%)	13.929(65%)	35	13092	85	13007	4511	1680	3084	  12635
2660	&scorr;&sweep;&if -W 300 -x -K 6;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.233	7.297(35%)	13.936(65%)	35	13073	85	12988	4511	1680	3083	  12548
2661	&scorr;&sweep;&if -W 300 -g -K 6;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.022	7.297(35%)	13.725(65%)	35	13076	85	12991	4511	1680	3083	  12536
2662	&scorr;&sweep;&if -W 300 -y -K 6;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.354	7.123(34%)	14.231(66%)	34	13098	85	13013	4511	1680	3083	  12616
2663	&scorr;&sweep;&synch2;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	21.329	7.297(35%)	14.032(65%)	35	13095	85	13010	4511	1680	3084	  12661
2664	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&if -W 300 -K 6 -v;&mfs;	17.886	6.605(37%)	11.281(63%)	37	14067	85	13982	4511	1680	2885	  13441
2665	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&b -d;&if -W 300 -K 6 -v;&mfs;										1789	  15355
2666	&scorr;&sweep;&dch;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	19.550	6.521(34%)	13.029(66%)	34	13095	85	13010	4511	1680	3084	  12505
2667	&scorr;&sweep;&dch -f;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.451	6.769(34%)	13.682(66%)	34	13068	85	12983	4511	1680	3084	  12486
2668	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn3;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&mfs;	20.237	6.846(34%)	13.391(66%)	34	13232	85	13147	4511	1680	2884	  12582
