Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area
1146	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.785	7.590(34%)	15.195(66%)	34	12603	85	12518	4511	1680	3386	  12142
1147	&scorr;&sweep;&dc2;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	25.323	8.355(33%)	16.968(67%)	33	12896	85	12811	4511	1680	3630	  12335
1148	&scorr;&sweep;&syn2;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.766	7.349(34%)	14.417(66%)	34	12772	85	12687	4511	1680	3326	  12320
1149	&scorr;&sweep;&syn3;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.723	7.590(34%)	15.133(66%)	34	12762	85	12677	4511	1680	3628	  12305
1150	&scorr;&sweep;&syn4;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.759	7.590(34%)	15.169(66%)	34	12804	85	12719	4511	1680	3628	  12241
1151	&scorr;&sweep;&b;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.264	7.714(34%)	15.550(66%)	34	12799	85	12714	4511	1680	3628	  12278
1152	&scorr;&sweep;&b -d;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.870	7.473(35%)	14.397(65%)	35	12897	85	12812	4511	1680	3628	  12381
1153	&scorr;&sweep;&if -W 300 -x -K 6;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.152	6.970(35%)	13.182(65%)	35	12860	85	12775	4511	1680	3083	  12309
1154	&scorr;&sweep;&if -W 300 -g -K 6;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.601	7.173(35%)	13.428(65%)	35	12856	85	12771	4511	1680	3084	  12404
1155	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	17.564	6.332(37%)	11.232(63%)	37	13236	85	13151	4511	1680	2883	  12717
1156	&scorr;&sweep;&if -W 300 -y -K 6;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.170	7.297(35%)	13.873(65%)	35	12827	85	12742	4511	1680	3082	  12310
1157	&scorr;&sweep;&synch2;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.103	7.207(35%)	13.896(65%)	35	12851	85	12766	4511	1680	3387	  12462
1158	&scorr;&sweep;&dch;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	26.066	8.296(32%)	17.770(68%)	32	12878	85	12793	4511	1680	3630	  12292
1159	&scorr;&sweep;&dch -f;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	25.487	8.172(33%)	17.315(67%)	33	12814	85	12729	4511	1680	3630	  12245
1160	&scorr;&sweep;&if -W 300 -K 6 -v;&mfs;&st;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.368	6.952(35%)	13.416(65%)	35	12764	85	12679	4511	1680	3187	  12125
1161	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&syn4;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.870	7.173(35%)	13.697(65%)	35	12898	85	12813	4511	1680	3386	  12472
1162	&scorr;&sweep;&dc2;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	23.493	7.676(33%)	15.817(67%)	33	12964	85	12879	4511	1680	3628	  12426
1163	&scorr;&sweep;&syn2;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.183	7.094(34%)	14.089(66%)	34	12750	85	12665	4511	1680	3325	  12331
1164	&scorr;&sweep;&syn3;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	22.113	7.466(34%)	14.647(66%)	34	12779	85	12694	4511	1680	3628	  12333
1165	&scorr;&sweep;&syn4;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	21.503	7.342(35%)	14.161(65%)	35	12810	85	12725	4511	1680	3628	  12301
1166	&scorr;&sweep;&if -W 300 -K 6 -v;&st;&if -W 300 -g -K 6;&b;&if -W 300 -K 6 -v;&mfs;	18.374	6.598(36%)	11.776(64%)	36	13384	85	13299	4511	1680	3083	  13095
1167	&scorr;&sweep;&b;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	20.220	6.967(35%)	13.253(65%)	35	12792	85	12707	4511	1680	3628	  12342
1168	&scorr;&sweep;&b -d;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	18.916	6.722(36%)	12.194(64%)	36	12940	85	12855	4511	1680	3628	  12450
1169	&scorr;&sweep;&if -W 300 -x -K 6;&b;&if -W 300 -K 6 -v;&st;&syn3;&if -W 300 -K 6 -v;&mfs;	19.161	6.846(36%)	12.315(64%)	36	13195	85	13110	4511	1680	3083	  12734
